# Sim1-Brhammaputra (Up to date)
# 220 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (31.2 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2047.06,87,0.205,0.002,9.792,NaN,63.43,NaN,0,0,1.508e-4,0.637,0.499,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.531,90,31,1014.25,0.001,350.085,0.004,1.075e5,7.62,45.604,0.01,0.025,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2047.045,86.985,0.205,0.002,9.792,NaN,63.43,NaN,2.848,0.142,1.524e-4,0.636,0.498,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.54,90,31,1014.25,0.001,350.085,0.004,1.081e5,7.62,45.604,0.01,0.049,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2047.03,86.97,0.205,0.002,9.792,NaN,63.43,NaN,5.697,0.284,1.54e-4,0.635,0.497,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.549,90,31,1014.25,0.001,350.085,0.004,1.087e5,7.62,45.604,0.003,0.056,0
0.023,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2047.026,86.965,0.205,0.002,9.792,NaN,63.429,NaN,6.551,0.327,1.544e-4,0.635,0.497,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.551,90,31,1014.25,0.001,350.085,0.004,1.089e5,7.62,45.604,0.004,0.068,0
0.027,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2046.996,86.936,0.205,0.002,9.792,NaN,63.429,NaN,9.099,0.454,1.552e-4,0.635,0.497,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.555,90,31,1014.25,0.001,350.085,0.004,1.091e5,7.62,45.604,0.007,0.079,0
0.034,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2046.952,86.892,0.205,0.002,9.792,NaN,63.428,NaN,12.921,0.645,1.562e-4,0.634,0.496,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.561,90,31,1014.25,0.001,350.085,0.004,1.096e5,7.62,45.604,0.01,0.087,0
0.044,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2046.887,86.826,0.205,0.002,9.792,NaN,63.426,NaN,18.582,0.927,1.578e-4,0.633,0.495,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.57,90,31,1014.25,0.001,350.085,0.004,1.102e5,7.62,45.604,0.006,0.095,0
0.05,0,0,4.961e-4,0.003,0.518,2.793,0,0,0,0,0.003,2.745,28.61,-80.6,74.982,0,0,0,75,90,2046.849,86.789,0.205,0.002,9.792,NaN,63.425,NaN,21.838,1.09,1.597e-4,0.633,0.495,0.018,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.575,90,31,1014.25,0.001,350.085,0.005,1.107e5,7.62,45.604,0.009,0.105,3.889e-7
0.059,5.411e-5,5.411e-5,0.016,0.033,2.984,4.527,1.33e-4,0,1.33e-4,90,0.029,3.405,28.61,-80.6,74.446,0,0,0,75,90,2046.717,86.656,0.205,0.002,9.792,NaN,63.422,NaN,27.062,1.35,1.834e-4,0.63,0.492,0.018,0.12,0.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.583,90,31,1014.25,0.001,350.085,0.005,1.132e5,7.62,45.604,0.01,0.116,4.697e-6
0.069,4.069e-4,4.069e-4,0.06,0.09,5.843,7.179,6.075e-4,0,6.075e-4,90,0.067,4.17,28.61,-80.6,72.939,0,0,0,75,90,2046.563,86.503,0.205,0.002,9.792,NaN,63.419,NaN,33.118,1.653,2.506e-4,0.626,0.488,0.018,0.12,0.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.593,90,31,1014.25,0.001,350.085,0.005,1.166e5,7.62,45.604,0.01,0.124,1.241e-5
